Stock_ID,Weight
Stock_1,2.34E-13
Stock_2,1.45E-13
Stock_3,2.11E-13
Stock_4,1.27E-13
Stock_5,2.34E-13
Stock_6,1.72E-13
Stock_7,2.34E-13
Stock_8,2.34E-13
Stock_9,2.19E-13
Stock_10,1.80E-13
Stock_11,2.16E-13
Stock_12,2.15E-13
Stock_13,1.94E-13
Stock_14,2.11E-13
Stock_15,1.28E-13
Stock_16,2.18E-13
Stock_17,2.20E-13
Stock_18,2.34E-13
Stock_19,2.11E-13
Stock_20,2.22E-13
Stock_21,2.14E-13
Stock_22,1.92E-13
Stock_23,2.04E-13
Stock_24,2.16E-13
Stock_25,2.34E-13
Stock_26,1.84E-13
Stock_27,1.64E-13
Stock_28,2.34E-13
Stock_29,1.21E-13
Stock_30,2.15E-13
Stock_31,2.09E-13
Stock_32,2.09E-13
Stock_33,2.34E-13
Stock_34,1.85E-13
Stock_35,1.19E-13
Stock_36,1.78E-13
Stock_37,2.34E-13
Stock_38,2.34E-13
Stock_39,1.43E-13
Stock_40,1.57E-13
Stock_41,2.34E-13
Stock_42,1.04E-13
Stock_43,2.02E-13
Stock_44,1.09E-13
Stock_45,2.34E-13
Stock_46,1.69E-13
Stock_47,2.26E-13
Stock_48,2.09E-13
Stock_49,1.98E-13
Stock_50,2.34E-13
Stock_51,1.04E-13
Stock_52,2.34E-13
Stock_53,1.43E-13
Stock_54,2.34E-13
Stock_55,1.29E-13
Stock_56,2.34E-13
Stock_57,2.18E-13
Stock_58,2.34E-13
Stock_59,1.84E-13
Stock_60,2.00E-13
Stock_61,1.65E-13
Stock_62,1.23E-13
Stock_63,1.74E-13
Stock_64,0.2
Stock_65,1.91E-13
Stock_66,1.56E-13
Stock_67,1.22E-13
Stock_68,2.34E-13
Stock_69,2.34E-13
Stock_70,2.34E-13
Stock_71,1.92E-13
Stock_72,2.34E-13
Stock_73,2.02E-13
Stock_74,1.85E-13
Stock_75,2.10E-13
Stock_76,2.34E-13
Stock_77,1.53E-13
Stock_78,2.34E-13
Stock_79,2.34E-13
Stock_80,1.56E-13
Stock_81,2.11E-13
Stock_82,2.34E-13
Stock_83,1.04E-13
Stock_84,1.22E-13
Stock_85,1.59E-13
Stock_86,2.34E-13
Stock_87,1.67E-13
Stock_88,1.04E-13
Stock_89,1.45E-13
Stock_90,2.34E-13
Stock_91,1.05E-13
Stock_92,1.90E-13
Stock_93,1.19E-13
Stock_94,1.83E-13
Stock_95,2.34E-13
Stock_96,1.35E-13
Stock_97,2.34E-13
Stock_98,1.81E-13
Stock_99,1.04E-13
Stock_100,2.34E-13
Stock_101,2.29E-13
Stock_102,2.34E-13
Stock_103,1.04E-13
Stock_104,1.34E-13
Stock_105,2.34E-13
Stock_106,1.31E-13
Stock_107,2.11E-13
Stock_108,2.34E-13
Stock_109,2.34E-13
Stock_110,2.25E-13
Stock_111,2.34E-13
Stock_112,1.40E-13
Stock_113,2.34E-13
Stock_114,2.34E-13
Stock_115,1.31E-13
Stock_116,1.96E-13
