Stock_ID,Weight
Stock_1,6.946584553149077e-14
Stock_2,3.923514527648879e-14
Stock_3,1.8117278878371122e-14
Stock_4,5.1179408007618555e-14
Stock_5,9.447846960600163e-14
Stock_6,1.4297190220803052e-13
Stock_7,3.785869306677383e-14
Stock_8,1.850126789484573e-14
Stock_9,2.216334674282801e-13
Stock_10,2.1435241991267778e-13
Stock_11,1.8249077006720076e-14
Stock_12,3.351850759022428e-14
Stock_13,2.2106486523482427e-13
Stock_14,3.7361358864062453e-14
Stock_15,1.8132976050661946e-14
Stock_16,1.8116908234415582e-14
Stock_17,1.835404630905281e-14
Stock_18,4.3476472115130765e-14
Stock_19,2.2139784797000491e-13
Stock_20,1.8124914537718164e-14
Stock_21,6.831519506204953e-14
Stock_22,1.7863207663708825e-14
Stock_23,1.8639518013381487e-13
Stock_24,1.8045475553401412e-14
Stock_25,1.8135423864710376e-14
Stock_26,1.929441663434236e-13
Stock_27,1.8056580923578672e-14
Stock_28,1.7979412581206015e-14
Stock_29,2.2131088179666182e-13
Stock_30,1.8114384953537327e-14
Stock_31,2.0795444045706573e-13
Stock_32,2.2117777525941518e-13
Stock_33,1.7834602906656067e-14
Stock_34,1.8106704139005936e-14
Stock_35,1.8076857625203227e-14
Stock_36,1.822155119825005e-14
Stock_37,2.2127685316776027e-13
Stock_38,1.7893043208261113e-14
Stock_39,1.834502013821051e-14
Stock_40,1.8009274889132865e-14
Stock_41,5.836335956390235e-14
Stock_42,1.8114559004809714e-14
Stock_43,1.8201477212940433e-14
Stock_44,2.0017020321676185e-13
Stock_45,7.253254674422227e-14
Stock_46,1.4110162481566722e-13
Stock_47,1.8031050256957894e-14
Stock_48,2.2117988731375517e-13
Stock_49,1.8030846581700445e-14
Stock_50,1.7860384597087137e-14
Stock_51,1.8335859973504533e-14
Stock_52,1.8440080903694986e-14
Stock_53,5.2741871866502964e-14
Stock_54,1.802707350525692e-14
Stock_55,1.2954042393022238e-13
Stock_56,1.8340571365521012e-14
Stock_57,4.0256665899331445e-14
Stock_58,1.8269566386799214e-14
Stock_59,1.7833401311080597e-14
Stock_60,1.817911542018574e-14
Stock_61,2.211239519022653e-13
Stock_62,8.81224985986401e-14
Stock_63,1.8117834285533447e-14
Stock_64,1.1063377330270678e-13
Stock_65,2.2112777637337212e-13
Stock_66,2.1559050484194477e-14
Stock_67,4.713263873426695e-14
Stock_68,1.8312359562302323e-14
Stock_69,1.813326568236729e-14
Stock_70,4.9919186392422024e-14
Stock_71,1.464468562400121e-13
