Stock_ID,Weight
Stock_1,1.0366551096799184e-14
Stock_2,1.0352093777880839e-14
Stock_3,1.0365731029123073e-14
Stock_4,2.6428399356741374e-15
Stock_5,1.0364774299992873e-14
Stock_6,1.0367826585354077e-14
Stock_7,0.19999999999926563
Stock_8,7.52615057782219e-15
Stock_9,1.0381715455353227e-14
Stock_10,1.035271097584908e-14
Stock_11,1.037859040552448e-14
Stock_12,1.035703616165254e-14
Stock_13,9.320952154246019e-15
Stock_14,8.243447866527803e-15
Stock_15,1.037972467140099e-14
Stock_16,1.0321059730770973e-14
Stock_17,1.0351865687186802e-14
Stock_18,1.0373747165830872e-14
Stock_19,1.0348821015722704e-14
Stock_20,1.03644291385908e-14
Stock_21,1.0329351368422548e-14
Stock_22,1.0343856032484342e-14
Stock_23,6.099985657246947e-15
Stock_24,8.300511702915271e-15
Stock_25,1.03624623352372e-14
Stock_26,1.010884155226468e-14
Stock_27,1.0368575636512975e-14
Stock_28,1.0371403266033958e-14
Stock_29,5.344353446726238e-15
Stock_30,1.0340458481698322e-14
Stock_31,9.479263141640654e-15
Stock_32,1.0349582521564123e-14
Stock_33,1.0324321807597412e-14
Stock_34,1.0371255816622748e-14
Stock_35,1.0358741109328528e-14
Stock_36,1.0067724204202003e-14
Stock_37,1.0326981828175607e-14
Stock_38,1.038788258326916e-14
Stock_39,9.0460319029018e-15
Stock_40,1.0354472433048847e-14
Stock_41,1.03687488826564e-14
Stock_42,8.3061936257778e-15
Stock_43,5.993689157628274e-15
Stock_44,7.913882333318433e-15
Stock_45,1.0367397232053032e-14
Stock_46,1.0304221129797395e-14
Stock_47,1.0371039130325246e-14
Stock_48,1.035574765496047e-14
Stock_49,1.0360278752331841e-14
Stock_50,1.0330028691767316e-14
Stock_51,1.0296272938229783e-14
Stock_52,1.0347639796681152e-14
Stock_53,6.225010908191564e-15
Stock_54,1.0346955208488286e-14
Stock_55,5.3963435971468895e-15
Stock_56,1.0379923942783947e-14
Stock_57,1.0326741370768781e-14
Stock_58,1.0376378430674728e-14
Stock_59,1.031943236608107e-14
Stock_60,1.02886506059979e-14
Stock_61,1.0383959468558261e-14
Stock_62,1.0352712734102285e-14
Stock_63,1.0264292964185943e-14
Stock_64,1.036033767609433e-14
Stock_65,9.374007648496922e-15
Stock_66,2.436324921209319e-15
Stock_67,3.256569758338118e-15
Stock_68,1.0368066121598094e-14
Stock_69,1.0365417394129027e-14
Stock_70,1.0336182701057676e-14
Stock_71,1.0342369746352335e-14
Stock_72,1.032710744769142e-14
Stock_73,1.0360127681531252e-14
Stock_74,2.348705972705237e-15
Stock_75,9.038496571758897e-15
Stock_76,1.0359298581259945e-14
Stock_77,7.557285965593776e-15
Stock_78,1.0367843603429866e-14
Stock_79,1.0345410661900572e-14
Stock_80,8.768039859797292e-15
Stock_81,9.679900212352243e-15
Stock_82,1.0360090503640781e-14
Stock_83,2.0926866817344834e-15
Stock_84,1.036785035835291e-14
Stock_85,0.0
Stock_86,1.0357128063519505e-14
Stock_87,8.260637502398938e-15
Stock_88,7.091735209393001e-16
Stock_89,0.0
Stock_90,1.037194346416711e-14
Stock_91,6.149580524206347e-15
Stock_92,1.0350163591849747e-14
Stock_93,9.096105287209011e-15
Stock_94,1.0362810242265197e-14
Stock_95,1.0350132907643304e-14
Stock_96,1.036878272154426e-14
Stock_97,1.0335663110543831e-14
Stock_98,1.0374755377235047e-14
Stock_99,5.276253693679219e-15
Stock_100,1.0367347916365136e-14
Stock_101,1.0367422906019065e-14
Stock_102,1.0359366226052807e-14
Stock_103,0.0
Stock_104,1.031369158727585e-14
Stock_105,1.0342397926307095e-14
Stock_106,1.0361625050779657e-14
Stock_107,1.0365178408454711e-14
Stock_108,1.0344255362764202e-14
Stock_109,1.0376669156310762e-14
Stock_110,1.0371870542127915e-14
Stock_111,1.034440586388267e-14
Stock_112,1.0370283307384789e-14
Stock_113,1.0364502865551894e-14
Stock_114,1.037206790496412e-14
Stock_115,5.2613648577530124e-15
Stock_116,1.0327200585316475e-14
Stock_117,1.0346649212183209e-14
Stock_118,1.036234834771583e-14
Stock_119,1.00185603219982e-14
Stock_120,1.0388289259207833e-14
Stock_121,0.0
Stock_122,1.035439205535289e-14
Stock_123,1.0382322721176358e-14
Stock_124,1.0322856921763455e-14
Stock_125,1.0288045963908488e-14
Stock_126,1.0293667563218038e-14
Stock_127,1.0277496809462356e-14
Stock_128,1.0354708426885428e-14
Stock_129,4.220755639661675e-15
Stock_130,1.0373032324000947e-14
Stock_131,1.0304132145530167e-14
Stock_132,1.0356906205633293e-14
Stock_133,1.0302787828928119e-14
Stock_134,1.0344295323331587e-14
Stock_135,1.0336032338525915e-14
Stock_136,1.0355329578128615e-14
Stock_137,1.034603685539831e-14
Stock_138,0.19999999999925241
Stock_139,1.0305684158905156e-14
Stock_140,1.0325341009007807e-14
Stock_141,1.0344081370016398e-14
Stock_142,0.0
Stock_143,1.0308068576754288e-14
Stock_144,1.0120428853986175e-14
Stock_145,1.0368527171114376e-14
Stock_146,1.0329196978332767e-14
Stock_147,1.0352201933234304e-14
Stock_148,8.970365392856141e-15
Stock_149,9.01240282210843e-15
Stock_150,1.0359542001318226e-14
Stock_151,1.0345324852724707e-14
Stock_152,0.0
Stock_153,1.0362179769807994e-14
Stock_154,0.0
Stock_155,1.0272798316591139e-14
Stock_156,1.0318317412700622e-14
Stock_157,8.057736767620647e-15
Stock_158,1.0360448331568394e-14
Stock_159,0.0
Stock_160,1.9287402414013793e-15
Stock_161,0.0
Stock_162,1.0316872984172183e-14
Stock_163,1.0354198040759188e-14
Stock_164,9.693953732833277e-15
Stock_165,1.035093832938105e-14
Stock_166,1.0361118874341829e-14
Stock_167,1.0377046242497227e-14
Stock_168,8.417233268303799e-16
Stock_169,1.0358911360500482e-14
Stock_170,1.0364785051472325e-14
Stock_171,1.0347727463640497e-14
Stock_172,0.0
Stock_173,0.0
Stock_174,8.009958116210098e-15
Stock_175,1.0372112510302488e-14
Stock_176,7.498856634079399e-15
Stock_177,1.0356885397590275e-14
Stock_178,9.256594772209127e-15
Stock_179,1.0322893909721767e-14
Stock_180,0.0
Stock_181,0.19999999999913556
Stock_182,1.0364798224268995e-14
Stock_183,9.916395428085648e-15
Stock_184,9.101699401367393e-15
Stock_185,4.820941291480191e-15
Stock_186,1.0340782252273306e-14
Stock_187,0.0
Stock_188,1.6153920122140865e-15
Stock_189,0.0
Stock_190,0.0
Stock_191,9.831025624994498e-15
Stock_192,1.0369638519858151e-14
Stock_193,1.0351728077452173e-14
Stock_194,6.724850113351949e-15
Stock_195,1.0368461941436734e-14
Stock_196,1.0356730772037873e-14
Stock_197,4.884564027449452e-15
Stock_198,1.9874430594067084e-15
Stock_199,5.501282428985503e-15
Stock_200,1.0364869291487164e-14
Stock_201,0.0
Stock_202,1.0346392972018374e-14
Stock_203,7.330772383089626e-15
Stock_204,1.0361094280680287e-14
Stock_205,8.9989978162643e-15
Stock_206,3.5253471806431927e-15
Stock_207,8.099853065395059e-15
Stock_208,1.0360522859989311e-14
Stock_209,1.0264066587846995e-14
Stock_210,7.160743308907913e-15
Stock_211,6.781934030216304e-15
Stock_212,1.0347914248669363e-14
Stock_213,3.825874619181145e-15
Stock_214,1.033402533384956e-14
Stock_215,7.246421863637156e-15
Stock_216,0.0
Stock_217,7.0077671269692875e-15
Stock_218,1.0337762723480701e-14
Stock_219,0.0
Stock_220,1.0333897449939891e-14
Stock_221,8.533729079864987e-15
Stock_222,1.7990778432072627e-15
Stock_223,1.036248347217961e-14
Stock_224,1.0348098957232355e-14
Stock_225,1.0371005627146576e-14
Stock_226,0.0
Stock_227,5.102769335716258e-15
Stock_228,1.0380278941563145e-14
Stock_229,1.0374100063086467e-14
Stock_230,1.0340972249512535e-14
Stock_231,1.0358045660411728e-14
Stock_232,9.889934965449248e-16
Stock_233,9.312710005178536e-15
Stock_234,0.0
Stock_235,1.0388422967828744e-14
Stock_236,1.036546394522915e-14
Stock_237,1.0367778787923649e-14
Stock_238,0.0
Stock_239,1.0361252820226302e-14
Stock_240,7.579272628481893e-15
Stock_241,1.0357877464912489e-14
Stock_242,0.0
Stock_243,7.056701626483692e-15
Stock_244,1.0332341164839733e-14
Stock_245,1.0363249194542174e-14
Stock_246,1.0349339244669634e-14
Stock_247,1.0345456818887154e-14
Stock_248,1.0340352941005223e-14
Stock_249,0.0
Stock_250,1.0344113665861883e-14
Stock_251,1.0341609150965808e-14
Stock_252,1.0327453802133326e-14
Stock_253,7.878485659443755e-15
Stock_254,8.734842199839674e-15
Stock_255,3.3727165491594864e-15
Stock_256,0.0
Stock_257,1.0324624051159117e-14
Stock_258,1.402369363916251e-15
Stock_259,1.0357347283109305e-14
Stock_260,1.0383591486075049e-14
Stock_261,5.861353330097922e-16
Stock_262,1.034357929160806e-14
Stock_263,6.6574469430351896e-15
Stock_264,1.0327173634276635e-14
Stock_265,9.367377371937036e-15
Stock_266,9.265216527007192e-15
Stock_267,1.0400155302360495e-14
Stock_268,1.0364504755066413e-14
Stock_269,1.0370216372107355e-14
Stock_270,1.0368125456362367e-14
Stock_271,1.0352110570929734e-14
Stock_272,1.0334878503112469e-14
Stock_273,0.19999999999911877
Stock_274,1.0383105008618711e-14
Stock_275,1.6341390250714889e-15
Stock_276,1.0361629155193661e-14
Stock_277,1.48892750851679e-15
Stock_278,1.0373105492134604e-14
Stock_279,5.539607509994219e-15
Stock_280,1.0383413865974686e-14
Stock_281,1.0364125933208035e-14
Stock_282,1.0357376228508515e-14
Stock_283,1.031131172895287e-14
Stock_284,1.0025951018142906e-14
Stock_285,1.0231714632201695e-14
Stock_286,1.0089948544781695e-14
Stock_287,1.0346865516600835e-14
Stock_288,1.0359466452225895e-14
Stock_289,1.0325924689490425e-14
Stock_290,0.0
Stock_291,0.0
Stock_292,7.208128458524358e-15
Stock_293,0.0
Stock_294,1.0365881983289256e-14
Stock_295,1.1395305658559647e-15
Stock_296,9.97099549776228e-15
Stock_297,5.150650911151966e-15
Stock_298,1.0361212639346232e-14
Stock_299,5.005490161632618e-15
Stock_300,1.2222639165982929e-15
Stock_301,1.036669211791939e-14
Stock_302,0.0
Stock_303,3.056224680267887e-15
Stock_304,1.035293922760104e-14
Stock_305,1.034031091758919e-14
Stock_306,1.0349430443814838e-14
Stock_307,6.940622856891944e-15
Stock_308,1.036544447563686e-14
Stock_309,1.0369646381421963e-14
Stock_310,1.0383294807570151e-14
Stock_311,1.036496536145938e-14
Stock_312,1.0338450250257361e-14
Stock_313,1.0355160409749608e-14
Stock_314,9.256200181858254e-15
Stock_315,9.49628387238752e-15
Stock_316,5.395125902918914e-15
Stock_317,7.469362217117136e-15
Stock_318,1.0349349406638722e-14
Stock_319,3.474315863121277e-15
Stock_320,8.410266083707339e-15
Stock_321,1.03237751680237e-14
Stock_322,1.0344929538802294e-14
Stock_323,7.079791376344969e-15
Stock_324,8.610228810213405e-15
Stock_325,1.0357946511894303e-14
Stock_326,1.036206906012867e-14
Stock_327,5.042931019807686e-15
Stock_328,1.0355436926979394e-14
Stock_329,1.0326942977069101e-14
Stock_330,1.0358761348974617e-14
Stock_331,1.0364470340902707e-14
Stock_332,1.0379191943726586e-14
Stock_333,8.463890108188404e-15
Stock_334,1.0309431308617755e-14
Stock_335,0.0
Stock_336,8.188603804092326e-15
Stock_337,1.0424423833616392e-14
Stock_338,1.0367863432278191e-14
Stock_339,5.374771499191984e-15
Stock_340,1.0378816146285657e-14
Stock_341,9.168119319017212e-15
Stock_342,8.68581072033626e-15
Stock_343,1.0367330403057944e-14
Stock_344,1.036552700168378e-14
Stock_345,1.0357843825130413e-14
Stock_346,8.417528874175118e-15
Stock_347,1.0351704757291653e-14
Stock_348,4.1280317138527406e-16
Stock_349,1.0361970823944737e-14
Stock_350,0.19999999999912402
Stock_351,9.194642995737799e-15
Stock_352,1.0369758850611372e-14
Stock_353,1.0328981808748955e-14
Stock_354,1.0364568905477713e-14
Stock_355,2.5292866105820716e-15
Stock_356,1.0379340673840376e-14
Stock_357,1.0364657445029452e-14
Stock_358,7.75780379552316e-15
Stock_359,1.0373403885074462e-14
Stock_360,1.0353309772278778e-14
Stock_361,1.0356169027349941e-14
Stock_362,1.0363113985199223e-14
Stock_363,6.334476316253092e-15
Stock_364,1.0374097890528191e-14
Stock_365,1.0369672147801643e-14
Stock_366,7.169122199708639e-15
Stock_367,1.0389578303817142e-14
Stock_368,1.0009598756752406e-14
Stock_369,1.0367078059583947e-14
Stock_370,1.0351417713768889e-14
Stock_371,1.0324731906827464e-14
Stock_372,9.926554864361754e-15
Stock_373,1.0366529212601577e-14
Stock_374,6.960213652531702e-15
Stock_375,1.0376177883972723e-14
Stock_376,1.0379026131654548e-14
Stock_377,6.381763848533127e-15
Stock_378,1.036265493448686e-14
Stock_379,2.1204559278796015e-15
Stock_380,1.0352437243677745e-14
Stock_381,0.0
Stock_382,1.0358328692531815e-14
Stock_383,1.0368098605783561e-14
Stock_384,1.0368739990719618e-14
Stock_385,1.0342753583071226e-14
Stock_386,1.0377482877607525e-14
Stock_387,6.2519988109018e-16
Stock_388,1.0365369492729309e-14
Stock_389,1.0369646997542215e-14
Stock_390,1.0367893594987652e-14
Stock_391,1.0372956863455784e-14
Stock_392,9.351553083455288e-16
Stock_393,3.208531744379747e-15
Stock_394,0.0
Stock_395,1.0316465467126536e-14
Stock_396,1.0364044237801999e-14
Stock_397,1.0371244269279413e-14
Stock_398,9.257225307760213e-15
Stock_399,5.5222339821225595e-15
Stock_400,2.1763039588394333e-15
Stock_401,9.811553552698374e-15
Stock_402,8.105258371318964e-15
Stock_403,1.0363720776703997e-14
Stock_404,1.0376980108448547e-14
Stock_405,5.8880233708214e-15
Stock_406,1.0345736521359189e-14
Stock_407,4.737091468921573e-15
Stock_408,1.0363118793784662e-14
Stock_409,1.035936968300111e-14
Stock_410,5.196418099601153e-15
Stock_411,1.0371541452276168e-14
Stock_412,1.0366442019516323e-14
Stock_413,8.422890361260966e-15
Stock_414,1.0353622743098069e-14
Stock_415,1.0354594587743105e-14
Stock_416,8.253333610593983e-15
Stock_417,1.035717051772223e-14
Stock_418,5.159043017225401e-15
Stock_419,5.118657149029597e-15
Stock_420,8.792143341301827e-15
Stock_421,1.034676439014588e-14
Stock_422,1.0292015951563321e-14
Stock_423,1.0353016316704809e-14
Stock_424,6.377398432474949e-15
Stock_425,8.904969117207268e-15
Stock_426,3.044859828583135e-15
Stock_427,5.56933577059205e-15
Stock_428,8.615785742884648e-15
Stock_429,1.0347390099332377e-14
Stock_430,4.0601046487686944e-15
Stock_431,9.565605611993746e-15
Stock_432,1.0360437581894156e-14
Stock_433,1.0325741339948483e-14
Stock_434,9.524492111332664e-15
Stock_435,1.0357781375599633e-14
Stock_436,8.458991624119095e-15
Stock_437,5.706042515921449e-15
Stock_438,1.0383166457932782e-14
Stock_439,2.953081168640905e-15
Stock_440,2.1437173936626746e-15
Stock_441,1.0343508166629088e-14
Stock_442,0.0
Stock_443,1.0403026269797934e-14
Stock_444,6.969015077223963e-15
Stock_445,1.0329604427661578e-14
Stock_446,1.034043012590785e-14
Stock_447,2.058169427100739e-15
Stock_448,1.0369642923288741e-14
Stock_449,1.035166754724723e-14
Stock_450,9.292239459684892e-15
Stock_451,1.0350899106584614e-14
Stock_452,1.0343895852247331e-14
Stock_453,8.552826206404907e-15
Stock_454,1.0308592412428015e-14
Stock_455,1.0376473089283102e-14
Stock_456,1.0328073453329332e-14
Stock_457,0.0
Stock_458,1.0383851195039265e-14
Stock_459,1.1037713138818555e-15
Stock_460,1.035902637847738e-14
Stock_461,1.0189430045293418e-14
Stock_462,1.0280317515375369e-14
Stock_463,1.0348133799413093e-14
Stock_464,1.5312469266040962e-16
Stock_465,0.0
Stock_466,1.0364877709881037e-14
Stock_467,1.0356152731800273e-14
Stock_468,3.8722296667731766e-15
Stock_469,1.0178453611772917e-14
Stock_470,8.277502673046812e-15
Stock_471,1.0330262753748958e-14
Stock_472,1.0355246654871268e-14
Stock_473,1.0339634786981538e-14
Stock_474,1.035945011614434e-14
Stock_475,6.352573216217267e-15
Stock_476,3.582346652829023e-15
Stock_477,1.034527126143551e-14
Stock_478,9.462806775665472e-15
Stock_479,9.150559512689739e-15
Stock_480,8.037872650730044e-15
Stock_481,1.0378168651929991e-14
Stock_482,1.0277323871142214e-14
Stock_483,1.0360735097245733e-14
Stock_484,9.34256882700472e-15
Stock_485,1.0348643062009056e-14
Stock_486,5.970422793468289e-15
Stock_487,9.661617262667397e-15
Stock_488,0.0
Stock_489,1.004342792355013e-14
Stock_490,1.0342993993147278e-14
Stock_491,1.033333630489992e-14
Stock_492,1.0344447053671957e-14
Stock_493,1.035251657071067e-14
Stock_494,1.0347899324958482e-14
Stock_495,1.0341589125637594e-14
Stock_496,4.365963766142421e-15
Stock_497,1.0356745310860244e-14
Stock_498,0.0
Stock_499,8.352128172167363e-15
