Stock_ID,Weight
Stock_1,2.4770231287611255e-15
Stock_2,0.0
Stock_3,1.844457724328681e-15
Stock_4,0.0
Stock_5,2.5080281654099282e-15
Stock_6,5.11287955252384e-15
Stock_7,0.0
Stock_8,7.71940930329205e-16
Stock_9,4.1473459755418044e-15
Stock_10,4.501622543978344e-15
Stock_11,1.702108318368704e-15
Stock_12,5.485660983901302e-16
Stock_13,1.3218018845632574e-15
Stock_14,1.2089819323347932e-15
Stock_15,0.0
Stock_16,2.8515288908017704e-15
Stock_17,0.0
Stock_18,3.4234310177217673e-15
Stock_19,3.0462109043394987e-15
Stock_20,1.8517868703135662e-16
Stock_21,2.3923341527939387e-15
Stock_22,2.790938189550867e-15
Stock_23,0.0
Stock_24,1.4585200380448594e-15
Stock_25,0.03340729443602727
Stock_26,6.034754493251383e-16
Stock_27,0.0
Stock_28,0.0
Stock_29,0.0
Stock_30,0.0
Stock_31,4.476326847916062e-15
Stock_32,2.12358086466853e-15
Stock_33,0.0
Stock_34,0.0
Stock_35,0.0
Stock_36,3.7315570121197036e-16
Stock_37,0.033257097698721275
Stock_38,0.033428521106926824
Stock_39,1.876954537179629e-15
Stock_40,0.0
Stock_41,4.376503157184403e-15
Stock_42,6.844692650970845e-16
Stock_43,1.1039761018306077e-15
Stock_44,0.0
Stock_45,1.5272138559517143e-15
Stock_46,3.76009065940572e-15
Stock_47,1.6216671061362712e-15
Stock_48,0.03324872802520486
Stock_49,2.9103118556871695e-15
Stock_50,5.1754314153785e-15
Stock_51,2.4992171153085962e-15
Stock_52,5.517390092713772e-15
Stock_53,2.1998338391225445e-16
Stock_54,3.749430967835593e-16
Stock_55,8.099282682516046e-16
Stock_56,0.03341345755959719
Stock_57,3.660636398195992e-15
Stock_58,4.181684875475458e-15
Stock_59,0.0
Stock_60,0.0
Stock_61,0.0
Stock_62,3.9537793782421237e-16
Stock_63,0.0
Stock_64,2.223862011827842e-15
Stock_65,1.2646883942306166e-15
Stock_66,0.0
Stock_67,0.0
Stock_68,3.4431725536835e-15
Stock_69,3.311274908086968e-16
Stock_70,9.995393200626395e-16
Stock_71,0.0
Stock_72,1.6937916175532546e-15
Stock_73,5.374263382740509e-15
Stock_74,0.0
Stock_75,2.1760360921303438e-15
Stock_76,2.5357325510393178e-15
Stock_77,2.995509535215078e-16
Stock_78,1.9529770902894798e-15
Stock_79,3.3695550500419035e-15
Stock_80,6.1727449134805615e-16
Stock_81,0.0
Stock_82,2.0472655880895625e-15
Stock_83,7.151237420284933e-16
Stock_84,0.0
Stock_85,2.1268840023630175e-15
Stock_86,1.025259531715844e-15
Stock_87,0.0
Stock_88,0.0
Stock_89,0.0
Stock_90,1.8132955797667142e-15
Stock_91,0.0
Stock_92,2.3697922381107347e-15
Stock_93,0.0
Stock_94,2.2657703205402235e-15
Stock_95,3.3559631070044025e-15
Stock_96,5.18632530349492e-15
Stock_97,3.302046972408811e-15
Stock_98,0.0
Stock_99,0.0
Stock_100,1.6564322742012992e-15
Stock_101,1.3029986078284978e-15
Stock_102,1.5567657839674363e-15
Stock_103,0.0
Stock_104,0.0
Stock_105,1.1480460048242597e-15
Stock_106,0.0
Stock_107,2.0390052642482444e-15
Stock_108,0.0
Stock_109,0.0
Stock_110,2.2700274942094364e-16
Stock_111,0.0
Stock_112,1.1269738766799094e-15
Stock_113,5.899377278284266e-15
Stock_114,3.1273562693307946e-15
Stock_115,0.0
Stock_116,0.0
Stock_117,0.0
Stock_118,4.854497070995565e-15
Stock_119,7.561687226423771e-16
Stock_120,0.0
Stock_121,3.7177743879949132e-16
Stock_122,0.03318194578182977
Stock_123,2.593875361480323e-16
Stock_124,6.810238343852894e-15
Stock_125,1.648242109308217e-15
Stock_126,0.0
Stock_127,5.694720934622508e-15
Stock_128,1.2905851108087048e-16
Stock_129,1.1659490104769005e-15
Stock_130,1.1721120000103221e-15
Stock_131,1.7666174082856544e-15
Stock_132,3.802602343995983e-15
Stock_133,0.03311388290729829
Stock_134,0.03354046941294965
Stock_135,6.248085686094015e-16
Stock_136,0.0
Stock_137,2.3672572300848466e-15
Stock_138,0.0
Stock_139,8.08320155603014e-16
Stock_140,0.0
Stock_141,7.017180279303649e-16
Stock_142,1.724896394380959e-15
Stock_143,4.304807503650049e-16
